Devin Hogan,Latrisha Vetaw,Meg Forney,Mike Derus,Londel French,Russ Henry,Jonathan Honerbrink,Charlie Casserly,Bob Sullentrop,UWI
,,1.0,0.5,,,,,0.3333333333333333,
0.3333333333333333,1.0,,,0.5,,,,,
0.5,,,,0.3333333333333333,1.0,,,,
,,0.5,1.0,0.3333333333333333,,,,,
,0.3333333333333333,1.0,0.5,,,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,1.0,0.5,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,
,0.5,1.0,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,,,,1.0,,,,,
,,,1.0,,,,,,
,,1.0,,,,,0.5,,
1.0,0.5,,,,0.3333333333333333,,,,
,,1.0,,,,,,,
,,1.0,,,,,,,
,0.5,1.0,,,,,,,
,,,1.0,,0.3333333333333333,,,0.5,
,,1.0,,,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,1.0,,,,,,,
,,1.0,0.5,,,,,,
,,,,,0.3333333333333333,0.5,,1.0,
,,,0.5,1.0,,,,,
,0.5,,,1.0,0.3333333333333333,,,,
,,0.5,1.0,,,,,,
,0.5,,,,1.0,0.3333333333333333,,,
,,1.0,0.5,,,,,,
,,1.0,0.5,,,,0.3333333333333333,,
,,0.3333333333333333,1.0,,,0.5,,,
0.3333333333333333,1.0,,,0.5,,,,,
,,1.0,,,,0.3333333333333333,,0.5,
0.3333333333333333,0.5,,1.0,,,,,,
,,0.3333333333333333,,1.0,0.5,,,,
,1.0,,,,,,,,
,,,,,1.0,,,,
,,1.0,,,,,0.5,,
1.0,,,,0.5,,,,,
1.0,,,0.3333333333333333,,0.5,,,,
,,0.5,,1.0,,,,,
,0.5,0.3333333333333333,1.0,,,,,,
,,1.0,,,,,,,
0.5,1.0,,,0.3333333333333333,,,,,
1.0,,,0.5,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,,0.3333333333333333,0.5,,1.0,,,,
,,0.3333333333333333,,1.0,0.5,,,,
,,0.5,,1.0,,,,,
,1.0,,,0.5,,,,,
,,,,,,1.0,,,
,1.0,,,0.5,0.3333333333333333,,,,
,0.5,,,1.0,0.3333333333333333,,,,
,,,1.0,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,
,1.0,,,0.3333333333333333,0.5,,,,
,0.5,1.0,,0.3333333333333333,,,,,
,,0.3333333333333333,,1.0,0.5,,,,
,0.5,1.0,,,0.3333333333333333,,,,
,,1.0,0.5,,,0.3333333333333333,,,
,,1.0,0.3333333333333333,,,,0.5,,
,,,1.0,,,,,,
,,1.0,,,,,,,
,,,,,,,,,1.0
,,1.0,0.5,,,,,0.3333333333333333,
,0.5,0.3333333333333333,1.0,,,,,,
,1.0,,,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.5,,1.0,,,,,,
,,,,,,,1.0,,
,0.3333333333333333,,,1.0,0.5,,,,
,0.5,1.0,,,,,,,
,0.5,1.0,,,,,,,
,,,,,,1.0,,0.5,
0.5,1.0,,,,0.3333333333333333,,,,
,0.3333333333333333,0.5,,1.0,,,,,
0.5,,,,,,0.3333333333333333,1.0,,
,1.0,0.3333333333333333,,0.5,,,,,
,,1.0,,,,,,,
,,1.0,,,,,,,
,0.5,1.0,,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,
,1.0,,,0.5,,0.3333333333333333,,,
,,1.0,,0.3333333333333333,0.5,,,,
,,,,1.0,,,,,
,,1.0,0.3333333333333333,,,0.5,,,
,,1.0,,,,,,,
1.0,0.5,,,0.3333333333333333,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,1.0,0.5,0.3333333333333333,,,,,
0.5,,1.0,,,,0.3333333333333333,,,
,,,1.0,0.5,0.3333333333333333,,,,
,,1.0,0.5,,,,,,
,1.0,,,0.5,,,,,
1.0,0.5,,,,0.3333333333333333,,,,
,,1.0,,,,,,,
,,1.0,,,,,,,
1.0,0.3333333333333333,,,,0.5,,,,
,0.5,1.0,,,0.3333333333333333,,,,
,0.3333333333333333,,,0.5,1.0,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.5,1.0,,0.3333333333333333,,,,,
0.5,0.3333333333333333,,1.0,,,,,,
,,1.0,,0.3333333333333333,0.5,,,,
0.5,,,,1.0,0.3333333333333333,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,,1.0,,0.5,0.3333333333333333,,,,
,,,1.0,,,,,,
,,1.0,,,,,,,
,,1.0,0.5,,0.3333333333333333,,,,
,,1.0,,,,,,,
,0.5,,1.0,,,,,,
,,0.3333333333333333,0.5,,1.0,,,,
,0.5,,,1.0,,,,,
,1.0,0.5,,,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,1.0,,,,,,,
,,0.5,1.0,,,,,0.3333333333333333,
,,1.0,0.5,,,,,,
0.3333333333333333,1.0,0.5,,,,,,,
,0.5,1.0,,,,,,,
0.3333333333333333,,,,1.0,0.5,,,,
1.0,0.3333333333333333,,,0.5,,,,,
0.5,,1.0,0.3333333333333333,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,,1.0,,,,,,,
1.0,0.3333333333333333,,,0.5,,,,,
1.0,,,,,,,,,
,,,1.0,,,,,,
0.3333333333333333,,,,0.5,1.0,,,,
,0.5,1.0,,,,,,,
,1.0,,0.5,0.3333333333333333,,,,,
,1.0,0.3333333333333333,,,0.5,,,,
,,,,,1.0,,0.5,0.3333333333333333,
,,1.0,,,0.5,,,,
,0.5,1.0,,,0.3333333333333333,,,,
,0.3333333333333333,0.5,,1.0,,,,,
,,0.3333333333333333,1.0,,0.5,,,,
,,,,,,1.0,,,
,,,0.5,0.3333333333333333,,,1.0,,
,0.5,,,0.3333333333333333,,,1.0,,
,,,0.5,,,,1.0,0.3333333333333333,
,0.5,1.0,,,,,,,
,,0.5,,1.0,,,,,
,,0.5,1.0,,,,0.3333333333333333,,
0.5,,,,1.0,0.3333333333333333,,,,
1.0,0.5,,,0.3333333333333333,,,,,
,1.0,,,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.5,0.3333333333333333,,1.0,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,0.3333333333333333,,,1.0,,0.5,,,
,,1.0,0.5,,,,0.3333333333333333,,
,1.0,,,0.5,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,,1.0,,,,,,
,,,0.5,,,1.0,,,
0.3333333333333333,,,,1.0,0.5,,,,
,1.0,0.3333333333333333,0.5,,,,,,
1.0,,,,,0.5,,,,
,,0.3333333333333333,0.5,,1.0,,,,
,,1.0,,,,,,0.5,
,0.3333333333333333,,0.5,,,,1.0,,
,,0.5,1.0,,,,,,
0.5,1.0,,,,0.3333333333333333,,,,
,,,0.3333333333333333,1.0,,,0.5,,
,1.0,0.5,,0.3333333333333333,,,,,
,1.0,,0.5,,,,0.3333333333333333,,
,0.3333333333333333,0.5,1.0,,,,,,
,0.5,1.0,,,,,,,
,,0.5,0.3333333333333333,,,,1.0,,
,0.5,0.3333333333333333,1.0,,,,,,
,0.5,0.3333333333333333,1.0,,,,,,
,,1.0,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,,0.5,1.0,,0.3333333333333333,,,,
,,,0.3333333333333333,1.0,0.5,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,
1.0,0.5,,,,,,,,0.3333333333333333
,0.3333333333333333,,,,0.5,1.0,,,
1.0,0.5,,,0.3333333333333333,,,,,
,1.0,0.5,,,,,,,
,0.3333333333333333,0.5,,1.0,,,,,
0.3333333333333333,,,,0.5,1.0,,,,
,,1.0,0.5,,,,,,
,,0.5,1.0,,,,,,
,,0.5,,,1.0,,,,
0.5,,,,0.3333333333333333,1.0,,,,
,1.0,,,,,,,,
,1.0,,,0.5,,,,,
,0.5,,0.3333333333333333,,1.0,,,,
,1.0,,,0.3333333333333333,0.5,,,,
,0.5,,,1.0,,,,0.3333333333333333,
,,,0.3333333333333333,,,1.0,0.5,,
,,0.5,0.3333333333333333,,,,1.0,,
,0.3333333333333333,1.0,,,0.5,,,,
,1.0,,,0.5,0.3333333333333333,,,,
,0.5,1.0,,,,,0.3333333333333333,,
,,,1.0,,,,0.3333333333333333,0.5,
,1.0,0.5,,,,,0.3333333333333333,,
,,,,,,0.5,,1.0,
,,1.0,0.5,,,,,,
,1.0,,,,,0.5,,,
,,1.0,0.5,,,,0.3333333333333333,,
0.3333333333333333,,,,1.0,0.5,,,,
,0.3333333333333333,0.5,1.0,,,,,,
,,1.0,,,,,,,
,,0.3333333333333333,0.5,,,,1.0,,
0.3333333333333333,,,,0.5,1.0,,,,
,,,,,,,1.0,,
,,0.3333333333333333,0.5,,1.0,,,,
,0.5,1.0,,,,0.3333333333333333,,,
,1.0,,,0.3333333333333333,0.5,,,,
,,0.5,0.3333333333333333,,,,1.0,,
,,1.0,,,0.3333333333333333,,0.5,,
,1.0,0.5,0.3333333333333333,,,,,,
,,,,,,,1.0,,
,0.3333333333333333,1.0,0.5,,,,,,
,1.0,0.5,,,,,,,
,,,,,1.0,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,0.5,,,1.0,0.3333333333333333,,,,
,0.5,1.0,,,,,,,
1.0,,,,,,,,,
,,,1.0,,,,,,
,,,0.5,,1.0,0.3333333333333333,,,
,0.3333333333333333,,,1.0,,,0.5,,
,0.5,,,0.3333333333333333,1.0,,,,
0.5,1.0,,,0.3333333333333333,,,,,
,0.5,1.0,,,,,,,
,1.0,,,,,,,,
,,,1.0,0.5,,,,,
,,1.0,0.5,,,,0.3333333333333333,,
0.5,1.0,,,,0.3333333333333333,,,,
,,,,,,,1.0,,
0.3333333333333333,,0.5,,1.0,,,,,
,,,,,1.0,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.3333333333333333,,1.0,,0.5,,,,
,1.0,0.3333333333333333,0.5,,,,,,
,,,1.0,,,,,,
,,1.0,,,,,,,
,1.0,0.5,,,,0.3333333333333333,,,
,,,,,,1.0,,,
,,,,1.0,0.5,,,,
0.3333333333333333,,,,0.5,1.0,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,,0.3333333333333333,,0.5,,,1.0,,
,1.0,,,0.3333333333333333,0.5,,,,
,1.0,0.5,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,
,,1.0,,,,0.5,,0.3333333333333333,
,0.3333333333333333,1.0,0.5,,,,,,
,0.3333333333333333,0.5,,,1.0,,,,
,1.0,,0.3333333333333333,0.5,,,,,
,,1.0,0.3333333333333333,,,,0.5,,
,,0.3333333333333333,0.5,,,,1.0,,
0.3333333333333333,1.0,,,0.5,,,,,
,1.0,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,
1.0,0.3333333333333333,,,0.5,,,,,
,1.0,,,,,,,,
,1.0,,,0.5,0.3333333333333333,,,,
,0.5,,0.3333333333333333,1.0,,,,,
,1.0,0.5,,0.3333333333333333,,,,,
,,1.0,0.5,,,0.3333333333333333,,,
,0.5,1.0,,,,0.3333333333333333,,,
0.3333333333333333,1.0,,,0.5,,,,,
,1.0,0.5,,,,,0.3333333333333333,,
0.3333333333333333,,,,1.0,0.5,,,,
,1.0,0.5,0.3333333333333333,,,,,,
,,,1.0,,,,,,
,0.3333333333333333,0.5,,,,1.0,,,
,0.5,,,0.3333333333333333,1.0,,,,
,1.0,,,0.5,0.3333333333333333,,,,
,,0.3333333333333333,,0.5,1.0,,,,
,,1.0,0.5,,,,0.3333333333333333,,
,,0.5,1.0,,,,,,
,0.3333333333333333,,0.5,1.0,,,,,
,,1.0,,,,,,,
,,0.5,,,1.0,,,,
,,,0.5,,0.3333333333333333,,1.0,,
,0.3333333333333333,,,0.5,1.0,,,,
0.5,1.0,,,,,,0.3333333333333333,,
,,,,,1.0,,,,
,0.3333333333333333,1.0,,0.5,,,,,
,,,,,,,1.0,,
,0.5,,,1.0,,,,0.3333333333333333,
,0.5,,1.0,,,,,0.3333333333333333,
,1.0,,,,0.5,,,,
,,0.5,,,1.0,,,0.3333333333333333,
,1.0,,,0.5,,,,,
,1.0,,,,,,,,
,0.3333333333333333,,,0.5,1.0,,,,
,0.5,,,0.3333333333333333,1.0,,,,
,,,,,,,1.0,,
0.3333333333333333,1.0,,,,0.5,,,,
,,,,,1.0,,,,
,,,1.0,,,0.5,,0.3333333333333333,
,0.3333333333333333,,1.0,0.5,,,,,
,0.5,1.0,,,,,0.3333333333333333,,
,0.3333333333333333,,,1.0,0.5,,,,
0.3333333333333333,0.5,,,,1.0,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,1.0,,,,,,,
,,,0.3333333333333333,,,0.5,,1.0,
,0.3333333333333333,0.5,1.0,,,,,,
,,,,,,1.0,0.3333333333333333,0.5,
,,0.3333333333333333,1.0,,,0.5,,,
,0.5,,,,,,1.0,,
,0.5,1.0,,,,,0.3333333333333333,,
,0.5,1.0,,0.3333333333333333,,,,,
,,0.5,,1.0,,,0.3333333333333333,,
,,,0.5,,1.0,,,0.3333333333333333,
,,1.0,,,0.5,,0.3333333333333333,,
,1.0,,,0.5,0.3333333333333333,,,,
,,0.5,,1.0,0.3333333333333333,,,,
,1.0,0.5,,,,0.3333333333333333,,,
,,,0.5,,1.0,,,,
,,,,,,,1.0,,
,1.0,0.5,,0.3333333333333333,,,,,
,,,1.0,,,,,,
,,0.3333333333333333,0.5,,1.0,,,,
0.3333333333333333,1.0,,,0.5,,,,,
,,,0.5,,,,1.0,,
,0.3333333333333333,0.5,,,1.0,,,,
,,1.0,,,,,,,
,1.0,,,0.3333333333333333,0.5,,,,
0.5,,1.0,,0.3333333333333333,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.5,,1.0,,,,,,
,,,,,1.0,,,,
,1.0,,,0.5,0.3333333333333333,,,,
,0.3333333333333333,,,1.0,0.5,,,,
0.3333333333333333,0.5,,,1.0,,,,,
,0.5,,1.0,,,,0.3333333333333333,,
0.5,,1.0,,,,0.3333333333333333,,,
,0.5,0.3333333333333333,1.0,,,,,,
,1.0,,,,,,,,
,,,0.3333333333333333,,0.5,1.0,,,
0.3333333333333333,,0.5,,1.0,,,,,
,,,1.0,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,
,,,,,0.5,0.3333333333333333,1.0,,
,1.0,,0.3333333333333333,,,0.5,,,
,1.0,0.5,0.3333333333333333,,,,,,
,,,0.5,,0.3333333333333333,,1.0,,
0.5,0.3333333333333333,,,1.0,,,,,
,,0.5,1.0,,,,,,
,,1.0,,,,,0.5,,
,1.0,0.5,,,0.3333333333333333,,,,
,1.0,0.5,0.3333333333333333,,,,,,
,1.0,0.5,,,,,,,
0.3333333333333333,,0.5,,,1.0,,,,
,,,1.0,,,0.3333333333333333,0.5,,
0.5,,,,1.0,0.3333333333333333,,,,
,,0.5,,1.0,,,0.3333333333333333,,
0.5,,0.3333333333333333,,1.0,,,,,
0.3333333333333333,0.5,,,,,,1.0,,
,0.5,,1.0,,0.3333333333333333,,,,
,0.5,1.0,0.3333333333333333,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,
,0.5,0.3333333333333333,,1.0,,,,,
,,,,,1.0,,,,
,0.5,,0.3333333333333333,,,,1.0,,
,,,,0.3333333333333333,1.0,,0.5,,
,,1.0,,,,,,,
,,1.0,,,,,0.5,,
,1.0,0.3333333333333333,0.5,,,,,,
0.5,1.0,,,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,
0.5,,,0.3333333333333333,,,,1.0,,
,1.0,,,,,,,,
,,,,1.0,,,,,
,,0.3333333333333333,0.5,,,,1.0,,
,0.5,1.0,,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,
,,,0.3333333333333333,,,1.0,0.5,,
,,0.3333333333333333,1.0,,,,0.5,,
1.0,,,,,,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,,1.0,,,,,,,
,0.3333333333333333,0.5,,,,,1.0,,
,0.5,1.0,0.3333333333333333,,,,,,
,,0.5,0.3333333333333333,,1.0,,,,
,,1.0,0.5,,,,0.3333333333333333,,
1.0,,0.3333333333333333,,,,,,0.5,
,,,,1.0,,,,,
,0.5,1.0,,0.3333333333333333,,,,,
,,0.5,,0.3333333333333333,,,1.0,,
,0.5,,,0.3333333333333333,,,1.0,,
,,0.5,1.0,,,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,,,0.5,1.0,,0.3333333333333333,,,
,1.0,,,,,,,,
1.0,,,,0.5,0.3333333333333333,,,,
,,1.0,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,1.0,,,0.5,,0.3333333333333333,,,
,,,,,,,1.0,,
,1.0,,,,,,0.5,,
0.3333333333333333,,,,0.5,1.0,,,,
,0.5,1.0,,0.3333333333333333,,,,,
,1.0,,,,0.5,,,,
1.0,,,0.5,,0.3333333333333333,,,,
0.3333333333333333,1.0,0.5,,,,,,,
,,1.0,,,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,1.0,0.5,,0.3333333333333333,,,,,
,,1.0,,,,,,,
0.3333333333333333,,,,,0.5,,1.0,,
,,,1.0,,,,0.5,0.3333333333333333,
0.3333333333333333,,,,0.5,1.0,,,,
,1.0,0.5,,,,,0.3333333333333333,,
,,1.0,,0.3333333333333333,,,0.5,,
0.5,,1.0,,,,,,,
,,,,1.0,,,,,
,0.5,1.0,0.3333333333333333,,,,,,
,0.5,1.0,,,,,,0.3333333333333333,
0.3333333333333333,,,,1.0,0.5,,,,
,,,0.5,1.0,,,,,
,1.0,0.5,,,,,,,
,,1.0,,,,,,,
,0.3333333333333333,,1.0,,0.5,,,,
,0.5,1.0,,,0.3333333333333333,,,,
,0.3333333333333333,,1.0,0.5,,,,,
,1.0,,,0.5,0.3333333333333333,,,,
,0.5,1.0,,,,,0.3333333333333333,,
,0.3333333333333333,1.0,,,,,0.5,,
,0.5,1.0,,,,,,0.3333333333333333,
,1.0,0.5,,,,,,,0.3333333333333333
,1.0,,0.3333333333333333,,,,0.5,,
,,,1.0,,,,,,
,,0.3333333333333333,0.5,,,1.0,,,
,0.5,1.0,0.3333333333333333,,,,,,
,,,1.0,,,0.3333333333333333,0.5,,
0.3333333333333333,,,,1.0,0.5,,,,
,0.5,,,,1.0,,,,
,,0.5,1.0,,,,0.3333333333333333,,
,,,1.0,,,,,,
,,1.0,,0.5,,0.3333333333333333,,,
,,,,1.0,,,,,
0.5,,,,,1.0,,,0.3333333333333333,
0.5,,1.0,0.3333333333333333,,,,,,
1.0,,0.5,0.3333333333333333,,,,,,
,,,,,1.0,,,,
0.5,,,,,0.3333333333333333,1.0,,,
1.0,0.5,,,0.3333333333333333,,,,,
0.5,0.3333333333333333,,,1.0,,,,,
,,1.0,,0.5,,0.3333333333333333,,,
,,,,,1.0,,,,
,,0.3333333333333333,0.5,,,,1.0,,
,0.3333333333333333,0.5,,,1.0,,,,
1.0,,0.3333333333333333,,0.5,,,,,
,,,1.0,,,,,,
0.3333333333333333,,1.0,,,0.5,,,,
1.0,0.5,0.3333333333333333,,,,,,,
,1.0,,,,0.5,,0.3333333333333333,,
,0.5,1.0,0.3333333333333333,,,,,,
,,,0.5,,,,1.0,,
,0.5,1.0,0.3333333333333333,,,,,,
,1.0,,,,,,,,
,,0.5,,,1.0,,,,
,,0.5,0.3333333333333333,,,,1.0,,
,1.0,0.3333333333333333,0.5,,,,,,
1.0,,0.5,,,,,0.3333333333333333,,
,,0.5,1.0,,0.3333333333333333,,,,
0.3333333333333333,0.5,,,1.0,,,,,
,1.0,,,0.3333333333333333,0.5,,,,
,1.0,,0.3333333333333333,,0.5,,,,
0.5,0.3333333333333333,,,1.0,,,,,
,0.3333333333333333,,1.0,,,,,0.5,
1.0,,0.5,,,,,0.3333333333333333,,
,1.0,,,0.3333333333333333,0.5,,,,
,,,1.0,,,,,,
,1.0,,,,,,,,
,,,,,1.0,,,,
,1.0,0.5,,,,,0.3333333333333333,,
,,,,,,1.0,,0.5,
,,1.0,,,,,0.5,,
,,1.0,,0.5,,,,0.3333333333333333,
,1.0,0.3333333333333333,,0.5,,,,,
0.5,0.3333333333333333,,,1.0,,,,,
,,0.3333333333333333,0.5,,,,1.0,,
,0.3333333333333333,,,0.5,,1.0,,,
,0.5,0.3333333333333333,1.0,,,,,,
0.5,1.0,0.3333333333333333,,,,,,,
0.3333333333333333,,0.5,1.0,,,,,,
1.0,0.3333333333333333,,,0.5,,,,,
,,1.0,0.5,,,,0.3333333333333333,,
,,1.0,,,,,0.5,,
1.0,,0.5,,0.3333333333333333,,,,,
,,,,1.0,,,,,
,,,1.0,0.5,,,,,
,1.0,0.5,,0.3333333333333333,,,,,
0.3333333333333333,1.0,0.5,,,,,,,
,1.0,,0.3333333333333333,,0.5,,,,
,1.0,,0.3333333333333333,0.5,,,,,
,,0.5,,,1.0,,,,
,0.5,1.0,,0.3333333333333333,,,,,
0.3333333333333333,,0.5,,,,,1.0,,
,,0.5,1.0,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,
,0.3333333333333333,1.0,0.5,,,,,,
,1.0,0.5,,,,0.3333333333333333,,,
1.0,0.5,,,,0.3333333333333333,,,,
,,1.0,,,,,,,
1.0,,,,,0.3333333333333333,0.5,,,
,0.5,,,0.3333333333333333,,,1.0,,
,1.0,,,,,,,,
,,,0.3333333333333333,1.0,0.5,,,,
,,,1.0,,,,0.5,,
,,0.3333333333333333,1.0,,0.5,,,,
,0.5,,,0.3333333333333333,1.0,,,,
,,,0.5,,,,1.0,,
,,,0.5,0.3333333333333333,,1.0,,,
,1.0,0.5,0.3333333333333333,,,,,,
,1.0,0.5,,,,,,,
,,,,0.5,1.0,,,,
,0.5,1.0,0.3333333333333333,,,,,,
0.3333333333333333,1.0,0.5,,,,,,,
0.3333333333333333,,,,1.0,0.5,,,,
,1.0,0.3333333333333333,,0.5,,,,,
0.5,1.0,,,,0.3333333333333333,,,,
,1.0,,,0.5,0.3333333333333333,,,,
0.3333333333333333,0.5,1.0,,,,,,,
,,0.5,0.3333333333333333,,,,1.0,,
,,1.0,0.5,,,,0.3333333333333333,,
,0.3333333333333333,1.0,0.5,,,,,,
,,,0.5,,,,1.0,0.3333333333333333,
,,,,,,1.0,,,
,,,0.3333333333333333,1.0,,,0.5,,
0.5,,,,1.0,,,,,
,,0.5,1.0,,,,0.3333333333333333,,
0.3333333333333333,0.5,1.0,,,,,,,
,,1.0,,,,,0.5,,
,,,1.0,,,,,,
,1.0,,,,,,,,
,1.0,,0.3333333333333333,0.5,,,,,
,,0.5,1.0,,,0.3333333333333333,,,
,,,,,,,1.0,,
,,0.5,,1.0,,,,,
1.0,0.5,,,0.3333333333333333,,,,,
0.3333333333333333,1.0,,,0.5,,,,,
,1.0,,,,,0.5,0.3333333333333333,,
,1.0,0.3333333333333333,,0.5,,,,,
,,,,1.0,,,,,
,0.5,1.0,,0.3333333333333333,,,,,
,,,1.0,,0.5,,,0.3333333333333333,
,,,1.0,,,,,,
,1.0,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,
0.3333333333333333,,0.5,,,,1.0,,,
0.5,0.3333333333333333,,,,1.0,,,,
,,,1.0,,,,0.5,0.3333333333333333,
,0.3333333333333333,0.5,1.0,,,,,,
0.5,,,,1.0,,,,,
,,0.3333333333333333,,1.0,0.5,,,,
1.0,0.5,,,0.3333333333333333,,,,,
,,1.0,,,,,0.5,0.3333333333333333,
,,,,0.3333333333333333,1.0,,0.5,,
,0.3333333333333333,1.0,,,0.5,,,,
,,,1.0,,,0.5,,0.3333333333333333,
0.5,,0.3333333333333333,1.0,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,
,1.0,,,0.5,,,,,
,,,1.0,,,,0.3333333333333333,0.5,
,0.3333333333333333,,0.5,1.0,,,,,
,,,1.0,,,,,,
0.5,,,0.3333333333333333,,1.0,,,,
1.0,,,,,0.5,,0.3333333333333333,,
,,1.0,0.3333333333333333,,,,0.5,,
,0.5,,,,,,1.0,0.3333333333333333,
,,0.3333333333333333,0.5,1.0,,,,,
0.5,,,,1.0,0.3333333333333333,,,,
,,1.0,0.5,,,,0.3333333333333333,,
,,0.5,,1.0,,,,,
1.0,,,0.5,0.3333333333333333,,,,,
,,,0.5,,,0.3333333333333333,1.0,,
,0.5,,,1.0,,,,,
1.0,0.5,,,,0.3333333333333333,,,,
,,1.0,,,,,,,
,,1.0,,,,,,,
,,1.0,0.5,,,,,,
,0.5,1.0,,,0.3333333333333333,,,,
,,1.0,0.5,,0.3333333333333333,,,,
,1.0,,0.3333333333333333,,0.5,,,,
,,,,0.5,1.0,,,,
0.5,1.0,,,,,,,,
0.5,1.0,,,0.3333333333333333,,,,,
1.0,0.5,,,0.3333333333333333,,,,,
,,,1.0,,0.3333333333333333,0.5,,,
,1.0,0.5,,0.3333333333333333,,,,,
,0.3333333333333333,1.0,,,,,0.5,,
,1.0,0.3333333333333333,,,,0.5,,,
,1.0,,,0.5,,,,,0.3333333333333333
,,0.3333333333333333,1.0,,,0.5,,,
,,,1.0,0.5,0.3333333333333333,,,,
1.0,,,0.3333333333333333,,,,,0.5,
,0.5,1.0,,,,,,,
,,,,1.0,0.3333333333333333,,,0.5,
0.3333333333333333,,,0.5,1.0,,,,,
,1.0,,,0.3333333333333333,0.5,,,,
,,,,,,0.5,1.0,,
,,,1.0,,,,0.5,0.3333333333333333,
0.3333333333333333,0.5,1.0,,,,,,,
0.3333333333333333,,1.0,,,,,0.5,,
0.5,1.0,,,0.3333333333333333,,,,,
0.5,0.3333333333333333,,,,1.0,,,,
,0.5,0.3333333333333333,,1.0,,,,,
,0.5,,,,1.0,,,,
0.3333333333333333,1.0,,,0.5,,,,,
0.5,,,,,,1.0,0.3333333333333333,,
,,1.0,,,,,,,
,0.5,,1.0,0.3333333333333333,,,,,
,,0.3333333333333333,,1.0,0.5,,,,
,0.5,,1.0,,,,,,
,,1.0,,,,,,,
,,,1.0,,,,,,
,,,,0.3333333333333333,0.5,1.0,,,
0.5,1.0,0.3333333333333333,,,,,,,
0.5,,0.3333333333333333,,1.0,,,,,
,,,,,,,1.0,,
,,0.3333333333333333,,1.0,,0.5,,,
,0.5,0.3333333333333333,,,1.0,,,,
0.5,1.0,,,,0.3333333333333333,,,,
,,1.0,,,0.3333333333333333,,0.5,,
,,1.0,,,,,,,
,1.0,,,0.5,0.3333333333333333,,,,
0.3333333333333333,,,1.0,0.5,,,,,
,,1.0,,,0.5,,0.3333333333333333,,
,,0.3333333333333333,0.5,,,,1.0,,
0.5,1.0,,,0.3333333333333333,,,,,
,,,,,1.0,,,,
,1.0,,,,,,,,
,,0.5,0.3333333333333333,,,1.0,,,
,1.0,,,0.3333333333333333,0.5,,,,
0.3333333333333333,,,,0.5,1.0,,,,
,1.0,0.5,,,,,,,
0.3333333333333333,,,,0.5,1.0,,,,
,1.0,0.5,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,
,,,,,1.0,,,,
,0.5,1.0,,,,,,,
1.0,,,,0.5,0.3333333333333333,,,,
,,,,1.0,,,,,
,,1.0,,,,,,,
,,,,,,1.0,0.5,0.3333333333333333,
,1.0,,,,,,,,
,,1.0,0.5,,,,0.3333333333333333,,
,0.5,1.0,,,,,,0.3333333333333333,
,,,1.0,,,,,,
1.0,,,,0.3333333333333333,0.5,,,,
,,,,,,,0.5,1.0,
0.3333333333333333,,,0.5,,,,1.0,,
1.0,0.5,,,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,
,0.5,0.3333333333333333,1.0,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,
,0.3333333333333333,,,1.0,0.5,,,,
,,,,,,,1.0,0.5,
